date,dist_m,mov_s,note
2023-10-01,3017.63,1037,
2023-10-03,5031.59,1652,
2023-10-06,7521.05,2054,
2023-10-07,15027.9,4130,
2023-10-08,20040.8,6309,
2023-10-11,11755.4,3918,
2023-10-13,5030.66,1175,5k_PB_1935
2023-10-14,30039.7,10052,LONG30k
2023-10-17,8208.38,2674,TRACK
2023-10-18,15551.2,5298,
2023-10-18,4534.29,1736,
2023-10-21,11479.5,3296,parkrun_2005
2023-10-22,11519.2,3337,
2023-10-24,1771.93,683,
2023-10-24,10038.9,2713,TRACK
2023-10-25,11759.4,3714,
2023-10-26,1553.02,723,
2023-10-28,12028,3842,
2023-10-29,10021.5,2747,
2023-10-31,8742.11,2617,TRACK
2023-11-02,7278.61,2348,
2023-11-04,5032.65,1480,
2023-11-05,30026.7,9082,LONG30k
2023-11-07,1835.07,822,
2023-11-07,9683.42,2535,TRACK
2023-11-09,5029.72,1265,
2023-11-11,21348.5,5666,
2023-11-11,2516.82,929,
2023-11-14,8193.36,1726,TRACK
2023-11-15,15022.2,4735,
2023-11-16,4012.97,1281,
2023-11-18,16017.4,4171,TRACK
2023-11-18,3019.73,1162,
2023-11-21,10041.7,2551,
2023-11-26,6232.49,1824,
2023-11-28,5031.44,1194,
2023-11-30,10155.8,3611,
2023-12-03,42463.8,12284,RACE_Valencia_marathon
2023-12-10,7216.52,2316,
2023-12-12,1639.21,814,
2023-12-12,4562.57,884,TRACK
2023-12-17,6023.13,1468,
2023-12-19,10008.6,2910,
2023-12-22,9028.38,2283,
2023-12-23,11300.7,3604,
2023-12-25,12014.8,3273,
2023-12-26,5013.4,1471,
2023-12-30,16158,4927,
2024-01-02,12029.7,3517,
2024-01-03,9007.82,2838,
2024-01-05,4012.97,907,
2024-01-07,21172.2,5603,HM_1_33
2024-01-07,2001.36,753,
2024-01-09,3088.52,1228,
2024-01-09,9034.36,2407,TRACK
2024-01-10,9352.81,3205,
2024-01-12,7021.37,1708,
2024-01-14,12028.7,3028,
2024-01-14,2118.33,691,
2024-01-16,2148.52,784,
2024-01-16,6933.33,1721,TRACK
2024-01-18,10010.5,2907,
2024-01-20,14136.3,4231,
2024-01-23,10105.7,2732,TRACK
2024-01-24,10138.7,3140,
2024-01-26,10018.1,2490,
2024-01-27,16004.2,4944,
2024-01-30,1678.41,518,
2024-01-30,5502.77,1362,FARTLEK
2024-01-31,13007.3,4545,
2024-02-03,30020.9,8160,LONG30k
2024-02-07,9076.78,2518,
2024-02-09,5025.75,1251,
2024-02-10,11453.8,3520,
2024-02-11,10271,3775,
2024-02-13,10115.3,3334,
2024-02-13,10027.6,2433,TRACK
2024-02-18,22012.6,6012,
2024-02-24,5019.64,1539,
2024-03-03,5322.43,1405,
2024-03-06,7256.33,1877,
2024-03-09,13006.2,4224,
2024-03-12,7357.27,2124,
2024-03-14,5252.14,1440,
2024-03-17,13010,4341,
2024-03-19,5004.33,1333,
2024-03-21,5021.68,1253,
2024-03-24,21215.8,5844,
2024-03-27,10015.9,2789,
2024-03-28,2581.39,794,
2024-03-28,2644.06,783,
2024-03-31,15026.6,4311,
2024-04-03,5030.82,1291,
2024-04-07,42740.4,12424,RACE_Paris_marathon
2024-04-12,5005.08,1467,
2024-04-13,10010.7,3239,
2024-04-17,5009.48,1230,
2024-04-20,7514.85,2298,
2024-04-22,10065.3,2392,10k_PB_3952
2024-04-24,1494.52,478,
2024-04-24,3003.34,857,
2024-04-27,11151.9,3067,
2024-04-30,3620.75,2019,
2024-04-30,7908.08,2047,TRACK
2024-05-02,3009.52,996,
2024-05-04,6057.81,2029,
2024-05-05,10016.8,2525,
2024-05-07,2758.23,1560,
2024-05-07,8605.97,2465,TRACK
2024-05-09,7697.44,2434,
2024-05-11,11013.3,2969,
2024-05-14,5015.9,1230,
2024-05-16,5520.91,1767,
2024-05-19,21173.2,5358,RACE_Hackney_half_129
2024-05-21,5019.78,1563,
2024-05-22,5019.58,1599,
2024-05-23,6002.56,2075,
